ZIP,Year,Median_Rent,Source
90280,2012,975.0,Census_ACS5
90290,2012,1967.0,Census_ACS5
90291,2012,1513.0,Census_ACS5
90292,2012,2001.0,Census_ACS5
90293,2012,1824.0,Census_ACS5
90301,2012,1037.0,Census_ACS5
90302,2012,1075.0,Census_ACS5
90303,2012,1060.0,Census_ACS5
90304,2012,954.0,Census_ACS5
90305,2012,1192.0,Census_ACS5
90401,2012,1365.0,Census_ACS5
90402,2012,1812.0,Census_ACS5
90403,2012,1615.0,Census_ACS5
90404,2012,1393.0,Census_ACS5
90405,2012,1456.0,Census_ACS5
90501,2012,1170.0,Census_ACS5
90502,2012,1162.0,Census_ACS5
90503,2012,1423.0,Census_ACS5
90504,2012,1335.0,Census_ACS5
90505,2012,1438.0,Census_ACS5
90601,2012,1223.0,Census_ACS5
90602,2012,1047.0,Census_ACS5
90603,2012,1592.0,Census_ACS5
90604,2012,1231.0,Census_ACS5
90605,2012,1210.0,Census_ACS5
90606,2012,1205.0,Census_ACS5
90631,2012,1281.0,Census_ACS5
90638,2012,1407.0,Census_ACS5
90640,2012,1116.0,Census_ACS5
90650,2012,1260.0,Census_ACS5
90660,2012,1211.0,Census_ACS5
90670,2012,1215.0,Census_ACS5
90701,2012,1337.0,Census_ACS5
90703,2012,1890.0,Census_ACS5
90704,2012,1179.0,Census_ACS5
90706,2012,1173.0,Census_ACS5
90710,2012,1050.0,Census_ACS5
90712,2012,1459.0,Census_ACS5
90713,2012,1744.0,Census_ACS5
90715,2012,1470.0,Census_ACS5
90716,2012,1221.0,Census_ACS5
90717,2012,1182.0,Census_ACS5
90723,2012,1155.0,Census_ACS5
90731,2012,1107.0,Census_ACS5
90732,2012,1516.0,Census_ACS5
90744,2012,982.0,Census_ACS5
90745,2012,1265.0,Census_ACS5
90746,2012,1759.0,Census_ACS5
90755,2012,1084.0,Census_ACS5
90802,2012,1032.0,Census_ACS5
90803,2012,1315.0,Census_ACS5
90804,2012,1111.0,Census_ACS5
90805,2012,1018.0,Census_ACS5
90806,2012,1016.0,Census_ACS5
90807,2012,1174.0,Census_ACS5
90808,2012,1397.0,Census_ACS5
90810,2012,985.0,Census_ACS5
90813,2012,936.0,Census_ACS5
90814,2012,1162.0,Census_ACS5
90815,2012,1564.0,Census_ACS5
90822,2012,-666666666.0,Census_ACS5
90831,2012,-666666666.0,Census_ACS5
91001,2012,1399.0,Census_ACS5
91006,2012,1452.0,Census_ACS5
91007,2012,1425.0,Census_ACS5
91010,2012,1245.0,Census_ACS5
91011,2012,2001.0,Census_ACS5
91016,2012,1312.0,Census_ACS5
91020,2012,1227.0,Census_ACS5
91024,2012,1474.0,Census_ACS5
91030,2012,1399.0,Census_ACS5
91040,2012,1203.0,Census_ACS5
91042,2012,1153.0,Census_ACS5
91046,2012,1140.0,Census_ACS5
91101,2012,1370.0,Census_ACS5
91103,2012,1132.0,Census_ACS5
91104,2012,1246.0,Census_ACS5
91105,2012,1805.0,Census_ACS5
91106,2012,1394.0,Census_ACS5
91107,2012,1335.0,Census_ACS5
91108,2012,2001.0,Census_ACS5
91201,2012,1301.0,Census_ACS5
91202,2012,1492.0,Census_ACS5
91203,2012,1194.0,Census_ACS5
91204,2012,1160.0,Census_ACS5
91205,2012,1204.0,Census_ACS5
91206,2012,1283.0,Census_ACS5
91207,2012,1439.0,Census_ACS5
91208,2012,1530.0,Census_ACS5
91214,2012,1581.0,Census_ACS5
91301,2012,1933.0,Census_ACS5
91302,2012,1882.0,Census_ACS5
91303,2012,1210.0,Census_ACS5
91304,2012,1185.0,Census_ACS5
91306,2012,1143.0,Census_ACS5
91307,2012,2001.0,Census_ACS5
91311,2012,1446.0,Census_ACS5
91316,2012,1425.0,Census_ACS5
91321,2012,1282.0,Census_ACS5
91324,2012,1321.0,Census_ACS5
91325,2012,1258.0,Census_ACS5
91326,2012,1677.0,Census_ACS5
91331,2012,1231.0,Census_ACS5
91335,2012,1179.0,Census_ACS5
91340,2012,1198.0,Census_ACS5
91342,2012,1300.0,Census_ACS5
91343,2012,1124.0,Census_ACS5
91344,2012,1524.0,Census_ACS5
91345,2012,1289.0,Census_ACS5
91350,2012,1563.0,Census_ACS5
91351,2012,1388.0,Census_ACS5
91352,2012,1130.0,Census_ACS5
91354,2012,1929.0,Census_ACS5
91355,2012,1719.0,Census_ACS5
91356,2012,1205.0,Census_ACS5
91361,2012,1928.0,Census_ACS5
91362,2012,1803.0,Census_ACS5
91364,2012,1741.0,Census_ACS5
91367,2012,1710.0,Census_ACS5
91381,2012,1773.0,Census_ACS5
91384,2012,1345.0,Census_ACS5
91387,2012,1601.0,Census_ACS5
91390,2012,1449.0,Census_ACS5
91401,2012,1125.0,Census_ACS5
91402,2012,1091.0,Census_ACS5
91403,2012,1500.0,Census_ACS5
91405,2012,1053.0,Census_ACS5
91406,2012,1130.0,Census_ACS5
91411,2012,1155.0,Census_ACS5
91423,2012,1497.0,Census_ACS5
91436,2012,2001.0,Census_ACS5
91501,2012,1419.0,Census_ACS5
91502,2012,1209.0,Census_ACS5
91504,2012,1358.0,Census_ACS5
91505,2012,1418.0,Census_ACS5
91506,2012,1303.0,Census_ACS5
91601,2012,1228.0,Census_ACS5
91602,2012,1345.0,Census_ACS5
91604,2012,1634.0,Census_ACS5
91605,2012,1044.0,Census_ACS5
91606,2012,1073.0,Census_ACS5
91607,2012,1268.0,Census_ACS5
91608,2012,-666666666.0,Census_ACS5
91702,2012,1208.0,Census_ACS5
91706,2012,1184.0,Census_ACS5
91711,2012,1253.0,Census_ACS5
91722,2012,1431.0,Census_ACS5
91723,2012,1125.0,Census_ACS5
91724,2012,1335.0,Census_ACS5
91731,2012,1020.0,Census_ACS5
91732,2012,1100.0,Census_ACS5
91733,2012,1071.0,Census_ACS5
91740,2012,1390.0,Census_ACS5
91741,2012,1426.0,Census_ACS5
91744,2012,1226.0,Census_ACS5
91745,2012,1531.0,Census_ACS5
91746,2012,1290.0,Census_ACS5
91748,2012,1307.0,Census_ACS5
91750,2012,1239.0,Census_ACS5
91754,2012,1188.0,Census_ACS5
91755,2012,1258.0,Census_ACS5
91759,2012,1813.0,Census_ACS5
91765,2012,1740.0,Census_ACS5
91766,2012,1145.0,Census_ACS5
91767,2012,1071.0,Census_ACS5
91768,2012,955.0,Census_ACS5
91770,2012,1174.0,Census_ACS5
91773,2012,1541.0,Census_ACS5
91775,2012,1270.0,Census_ACS5
91776,2012,1221.0,Census_ACS5
91780,2012,1310.0,Census_ACS5
91789,2012,1747.0,Census_ACS5
91790,2012,1339.0,Census_ACS5
91791,2012,1332.0,Census_ACS5
91792,2012,1485.0,Census_ACS5
91801,2012,1203.0,Census_ACS5
91803,2012,1146.0,Census_ACS5
92397,2012,1088.0,Census_ACS5
93243,2012,709.0,Census_ACS5
93510,2012,1926.0,Census_ACS5
93532,2012,1257.0,Census_ACS5
93534,2012,938.0,Census_ACS5
93535,2012,1166.0,Census_ACS5
93536,2012,1201.0,Census_ACS5
93543,2012,1304.0,Census_ACS5
93544,2012,1708.0,Census_ACS5
93550,2012,1018.0,Census_ACS5
93551,2012,1601.0,Census_ACS5
93552,2012,1468.0,Census_ACS5
93553,2012,906.0,Census_ACS5
93563,2012,-666666666.0,Census_ACS5
93591,2012,1140.0,Census_ACS5
90001,2012,950.0,Census_ACS5
90002,2012,940.0,Census_ACS5
90003,2012,999.0,Census_ACS5
90004,2012,1040.0,Census_ACS5
90005,2012,920.0,Census_ACS5
90006,2012,897.0,Census_ACS5
90007,2012,963.0,Census_ACS5
90008,2012,1000.0,Census_ACS5
90010,2012,1633.0,Census_ACS5
90011,2012,964.0,Census_ACS5
90012,2012,975.0,Census_ACS5
90013,2012,536.0,Census_ACS5
90014,2012,441.0,Census_ACS5
90015,2012,794.0,Census_ACS5
90016,2012,1023.0,Census_ACS5
90017,2012,823.0,Census_ACS5
90018,2012,954.0,Census_ACS5
90019,2012,1113.0,Census_ACS5
90020,2012,1099.0,Census_ACS5
90021,2012,441.0,Census_ACS5
90022,2012,930.0,Census_ACS5
90023,2012,972.0,Census_ACS5
90024,2012,1772.0,Census_ACS5
90025,2012,1540.0,Census_ACS5
90026,2012,1038.0,Census_ACS5
90027,2012,1149.0,Census_ACS5
90028,2012,1060.0,Census_ACS5
90029,2012,954.0,Census_ACS5
